name,region,serving_size_g,calories,protein_g,total_fat_g,fibre_g,carbs_g,sugar_g,vitamin_c_mg,vitamin_a_iu,B12_µg,selenium_µg,calcium_mg,iron_mg,potassium_mg,tags,ingredients
Amala & Ewedu,Nigerian,300,350,6,5,4,70,3,12,400,0.0,2,50,3,600,"vegetarian,low-fat","yam flour,ewedu leaves,water"
Eba & Egusi soup,Nigerian,350,500,18,20,8,45,2,8,350,0.0,5,80,6,900,high-protein,"cassava flour,egusi,spinach,palm oil"
Jollof rice & Grilled chicken,Nigerian,400,600,30,15,5,80,5,10,200,0.3,25,120,4,900,high-protein,"rice,tomato,onion,pepper,oil,grilled chicken"
Rice & Fish stew,Nigerian,400,550,28,18,6,75,4,8,180,0.2,22,110,5,850,high-protein,"rice,fish,tomato,onion,pepper,oil"
Beans Porridge,Nigerian,250,420,24,10,9,60,3,8,200,0.0,3,50,5,700,"high-protein,vegetarian","beans,tomato,onion,palm oil"
Spaghetti Bolognese,Italian,250,450,20,10,5,60,8,8,120,0.5,18,60,2,500,"comfort,high-protein","spaghetti,beef,tomato,onion,garlic"
Pasta Primavera,Italian,250,400,12,8,6,65,6,18,200,0.0,3,40,2,450,"vegetarian,high-fibre","pasta,vegetables,olive oil"
Mushroom Risoto,Italian,220,280,7,12,4,50,4,6,50,0.0,2,50,2,250,vegetarian,"rice,mushroom,cheese,oil"
Grilled salmon & Vegetable,American,200,500,35,20,4,10,2,10,150,4.9,36,20,3,600,"high-protein,omega-3","salmon,broccoli,carrots,spices,olive oil"
Ceaser Salad and Chicken,American,180,350,18,15,3,12,3,12,150,0.2,10,100,2,400,"high-protein,low-carb","lettuce,croutons,parmesan,grilled chicken"
Tuna Sandwich,Global,150,300,18,8,2,40,5,3,30,2.0,20,50,2,350,high-protein,"bread,tuna,lettuce,mayonnaise"
Chicken Curry,Indian,250,450,20,15,4,50,5,6,80,0.3,15,50,3,500,"high-protein,spicy","chicken,curry spices,tomato,onion"
Chickpea Curry,Indian,220,400,14,10,7,45,4,12,50,0.0,4,40,3,450,"vegan,high-protein","chickpeas,tomato,spices,oil"
Vegetable Stirfry,Chinese,200,220,5,5,6,25,6,30,300,0.0,2,40,1,350,"vegan,low-fat","broccoli,carrot,bell pepper,soy sauce"
Tofu Stirfry,Asian,200,300,12,10,5,25,5,20,200,0.0,3,40,2,300,"vegan,high-protein","tofu,broccoli,carrot,soy sauce"
Banana Smoothie,Global,250,200,3,5,4,35,25,30,50,0.0,1,30,1,350,"vegan,high-vitamin","banana,milk,honey"
Grrek Yoghurt Parfait,Global,180,250,12,5,3,30,12,4,150,0.8,3,150,1,250,high-protein,"yogurt,berries,granola"
Egg Omellete,Global,150,300,12,20,1,5,2,5,80,1.5,10,80,1,200,high-protein,"eggs,cheese,vegetables"
Oatmeal with nuts,Global,200,350,8,12,5,45,10,0,60,0.0,5,60,2,300,"vegetarian,high-fibre","oats,milk,nuts,honey"
Quinoa Salad,Global,180,320,8,7,5,50,4,20,50,0.0,5,40,2,400,"vegan,high-fibre","quinoa,tomato,cucumber,olive oil"
